"","Year","Location","Genotype","Amylose","Crude.Fiber"
"1",NA,"","",NA,NA
"2","2020","Otobi","IITA-TMS-IBA30572",11.385,0.67
"3","2020","Otobi","NR17C2aF103P001",12.382,2.67
"4","2020","Otobi","NR17C2aF10P002",9.362,1.67
"5","2020","Otobi","NR17C2aF10P006",11.023,2.33
"6","2020","Otobi","NR17C2aF10P017",13.771,2
"7","2020","Otobi","NR17C2aF10P025",13.046,1.67
"8","2020","Otobi","NR17C2aF114P002",14.194,2
"9","2020","Otobi","NR17C2aF121P001",14.164,2
"10","2020","Otobi","NR17C2aF12P001",11.144,2
"11","2020","Otobi","NR17C2aF13P001",10.177,3
"12","2020","Otobi","NR17C2aF14P016",10.449,1.67
"13","2020","Otobi","NR17C2aF15P016",9.151,3.33
"14","2020","Otobi","NR17C2aF16P013",9.211,2
"15","2020","Otobi","NR17C2aF21P004",10.842,1.67
"16","2020","Otobi","NR17C2aF28P002",12.986,2.67
"17","2020","Otobi","NR17C2aF33P002",12.835,1.67
"18","2020","Otobi","NR17C2aF54P010",9.936,2
"19","2020","Otobi","NR17C2aF60P006",8.547,2
"20","2020","Otobi","NR17C2aF60P009",9.513,2.67
"21","2020","Otobi","NR17C2aF61P003",10.026,2
"22","2020","Otobi","NR17C2aF62P020",11.204,2
"23","2020","Otobi","NR17C2aF62P027",11.053,2
"24","2020","Otobi","NR17C2aF65P017",13.379,1.67
"25","2020","Otobi","NR17C2aF65P027",14.496,3
"26","2020","Otobi","NR17C2aF6P044",12.775,2.33
"27","2020","Otobi","NR17C2aF70P007",13.077,1.67
"28","2020","Otobi","NR17C2aF79P005",10.691,1.67
"29","2020","Otobi","NR17C2aF7P007",12.382,2.67
"30","2020","Otobi","NR17C2aF7P062",10.449,2.33
"31","2020","Otobi","NR17C2aF81P002",8.547,3
"32","2020","Otobi","NR17C2aF83P018",13.318,2.67
"33","2020","Otobi","NR17C2aF89P003",14.103,2.33
"34","2020","Otobi","NR17C2aF89P014",12.201,2.33
"35","2020","Otobi","NR17C2aF89P028",12.201,2.67
"36","2020","Otobi","NR17C2aF89P084",16.248,3
"37","2020","Otobi","NR17C2aF90P008",12.05,2
"38","2020","Otobi","NR17C2aF97P002",10.419,2
